column_1,column_2,column_3,column_4,column_5,column_6,column_7,column_8,column_9,column_10,column_11,column_12,column_13
,SV1215,Cô Duyên Nguyễn,25/12/2006,05 32,zdang@example.com,đà nẵng,3.6946,,3.4388,Err,,
,SV1216,Quang Vũ,24/08/2002,8 899125,johnmai@example.org,TP HCM,100,8.8044,17.13,41.98,,
,SV1217,Cô Thành Vũ,32/13/2002,(07) 5280 4552,—,Đà Nẵng,8.8834,5.9475,9.4298,8.09,,
,SV1218,Chị Dương Mai,16/03/2002,(03) 6644 3482,JOHNNGUYEN@EXAMPLE.COM,đà nẵng,2.6215,0.3886,4.2633,2.42,,
,SV1219,Chị Chi Dương,32/13/2002,(01) 8340 9841,duongjohn@example.net,Ho Chi Minh City,0.6003,100,4.7126,35.1,,
,SV1220,Bảo Mai,25/01/2004,+84 26 3788847,phamjaneexample.org,Cần Thơ,,2.4559,0.6808,Err,,
,SV1221,Ông Trung Nguyễn,03/06/2007,03 48,lnguyen@example.net,HCM,-1.47,7.155,2.9338,2.87,,
,SV1222,Bà Thành Vũ,22/02/2004,01 6353 1074,nguyenjane@example.net,HN,1.1947,-0.15,-0.15,0.3,,
,SV1223,Tú Vũ,21/05/2002,04 2465627,john47@example.net,Ha Nioj,2.6732,3.8899,4.4513,3.67,,
,SV1224,Trọng Bùi,Unknown,(00)753-2200,john32@example.com,cần thơ,7.4504,3.4148,0.6514,3.84,,
,SV1225,Nhiên Trần,unknown,03 1371367,bnguyen@example.org,,1.1723,15.15,,Err,,
,SV1226,Quang Tấn Vũ,2003-06-17,08 0158 2779,duongjane@example.net,HN,8.8993,,6.1958,Err,,
,SV1227,Tùng Thế Hoàng,2004-06-06,+84-34-108328,VUJANE@EXAMPLE.COM,Hà Nội,5.8202,0.6669,8.858,5.12,,
,SV1228,Bà Hạnh Dương,32/13/2002,06 0186647,ymai@example.com,HCM,5.7415,-1,3.7143,2.82,,
,SV1229,Chi Dương,06/09/2007,+84-13-346 5714,tpham@example.com,Cần Thơ,9.7119,7.6694,17.14,11.51,,
,SV1230,Quý cô Hải Lê,unknown,+84-75-426657,phamjohn@example.org,Hải Phòng,2.3123,8.3672,9.8524,6.84,,
,SV1231,Thành Tấn Bùi,24/07/2007,08 1285558,nguyenjohn@example.net,CẦN THƠ,7.4629,7.8059,9.1434,8.14,,
,SV1232,Xuân Hoàng,16/08/2002,(04)231-9039,jane91@example.com,Ha Nioj,9.775,,,Err,,
,SV1233,Phúc Đức Phạm,19/12/2007,07 4088714,johnphamexample.com,HẢI PHÒNG,3.8575,7.0395,,Err,,
,SV1234,Phương Hữu Dương,02/08/2006,+84-19-540 3970,lejohn@example.net,Hải Phòng,9.8662,6.2733,19.98,12.04,,
,SV1235,Quý cô Nhật Đặng,09/05/2002,02 8840 7145,xdang@example.org,Cần Thơ,7.2338,8.9314,9.9083,8.69,,
,SV1236,Bác Thành Bùi,Unknown,+84-59-597603,XTRAN@EXAMPLE.NET,HN,1.7852,3.9055,-0.35,1.78,,
,SV1237,Nhật Mai Bảo Mai,13/10/2002,02 57,vujane@example.com,Đà Nẵng,-2.92,3.8207,6.1339,2.34,,
,SV1238,Anh Thành Hoàng,28/02/2002,(06) 3377 4711,johnbuiexample.org,TP HCM,,0.5681,,Err,,
,SV1239,Chị Hạnh Dương,2004-03-18,00 4000 1161,—,CẦN THƠ,7.2653,5.514,9.8408,7.54,,
,SV1240,Vũ Mai,08/09/2007,+84-18-242 2271,janephamexample.net,Hà Nội,8.3839,-0.74,6.8668,4.84,,
,SV1241,Ngọc Đặng,31/12/2003,+84-3,hoangjohn@example.org,Cần Thơ,6.9502,,-2.55,Err,,
,SV1242,Phúc Hoàng,17/11/2004,+84 75 0017160abc,johnle@example.org,Cần Thơ,3.5951,0.5331,5.7333,3.29,,
,SV1243,Chị Linh Lê,23/11/2005,—,hoangjohn@example.com,Ho Chi Minh City,9.3186,0.4195,6.9309,5.56,,
,SV1244,Ánh Vũ,06/05/2006,00 7579 6589,duongjane@example.net,hải phòng,2.9758,6.5603,7.9843,5.84,,
,SV1245,Bảo Hoàng,2003-11-21,+84-36-729 9058,knguyen@example.net,Ha Nioj,7.0096,4.1359,4.8427,5.33,,
,SV1246,Khoa Trí Đặng,30/12/2004,+84-81-227066,johnvu@example.net,Cần Thơ,100,9.9384,0.7697,36.9,,
,SV1247,Cô Bảo Đặng,22/07/2007,5 997985,jane80@example.net,Hà Nội,7.7691,4.1488,-3.21,2.9,,
,SV1248,Mai Phạm,28/04/2005,03 2592163,duongjane@example.org,TP HCM,4.3283,8.7911,4.5681,5.9,,
,SV1249,Chi Nguyễn,22/01/2004,08 5033953,johnpham@example.com,,2.5598,6.3057,3.5168,4.13,,
,SV1250,Chi Mai,2003-10-22,(09) 8409 2495,john07@example.org,TP HCM,4.2113,-2.09,4.022,2.05,,
,SV1251,Bà Khoa Trần,08/07/2007,—,john00@example.net,Cần Thơ,6.0498,0.7319,18.1,8.29,,
,SV1252,Hương Bùi,31/07/2006,(07) 8161 0525,lejane@example.net,HN,1.2147,,9.6505,Err,,
,SV1253,Bác Vũ Trần,01/06/2004,+84-39-286809,duongjane@example.net,,6.3303,9.042,6.7695,7.38,,
,SV1254,Quý cô Mai Phạm,26/08/2007,+84-5,jane97@example.org,Đà Nẵng,2.8944,6.5535,1.99,3.81,,
,SV1255,Chị Lan Dương,32/13/2002,+84-64-191 9384,john34@example.net,TP HCM,,1.1663,4.4844,Err,,
,SV1256,Hồng Trần,19/04/2004,09 8411 9380,john39@example.com,TP HCM,100,8.0021,8.6193,38.87,,
,SV1257,Khoa Vũ,13/07/2002,+84-32-047 1862,tmai@example.net,,3.3016,5.3483,,Err,,
,SV1258,Hải Lê,07/03/2004,+84-53-841058,maijohn@example.net,Đà Nẵng,4.4051,-2.11,,Err,,
,SV1259,Lâm Mai Bùi,07/05/2006,04 8468553,khoang@example.net,HÀ NỘI,3.4786,0.398,0.4834,1.45,,
,SV1260,Trọng Hữu Hoàng,Unknown,—,johnnguyen@example.org,HCM,100,6.7632,,Err,,
,SV1261,Cô Bảo Hoàng,14/05/2003,(01)539-1414,—,Hải Phòng,8.8379,1.561,3.7404,4.71,,
,SV1262,Bảo Hải Nguyễn,20/08/2003,+84-64-731 6295abc,JOHNPHAM@EXAMPLE.ORG,HN,7.4823,19.19,3.7117,10.13,,
,SV1263,Thảo Hoàng,21/08/2003,+84 33 4015925,JOHN73@EXAMPLE.COM,hải phòng,7.5721,6.8531,0.1371,4.85,,
,SV1264,Hương Nguyễn,16/09/2003,08 8391 0831,vvuexample.org,HN,8.7185,4.6094,8.1252,7.15,,
,SV1265,An Lê,09/06/2003,(00)198-7425,yduong@example.net,Hà Nội,100,6.5073,19.47,41.99,,
,SV1266,Hồng Hoàng,15/04/2004,(05)157-4128,ibui@example.org,Ha Nioj,5.7305,2.112,0.5192,2.79,,
,SV1267,Hoàng Quang Phạm,04/01/2005,(07) 1319 8978,thoang@example.com,HCM,100,,9.8362,Err,,
,SV1268,Huy Đặng,20/12/2002,07 2348024,JANE61@EXAMPLE.ORG,Hải Phòng,-4.91,100,,Err,,
,SV1269,Quý cô Hạnh Dương,32/13/2002,+84-22-460853,dangjane@example.net,ĐÀ NẴNG,8.5329,,3.4295,Err,,
,SV1270,Duyên Trần,07/07/2005,+84-51-456 9099,maijohn@example.com,đà nẵng,7.4435,5.276,1.1813,4.63,,
,SV1271,Chị Nhật Lê,Unknown,+84-58-201 1205,cle@example.net,,4.7675,3.6646,,Err,,
,SV1272,Quý ông Hoàng Nguyễn,29/01/2006,(2)566-87,JOHNNGUYEN@EXAMPLE.ORG,,2.4224,6.3744,1.7636,3.52,,
,SV1273,Tú Lê,25/05/2002,09 4506487abc,ble@example.org,,8.1361,,6.1813,Err,,
,SV1274,Chị Hạnh Lê,30/06/2006,+84-13-376248,jane27@example.org,HCM,6.2785,4.8476,8.4957,6.54,,
,SV1275,Nhật Phú Phạm,32/13/2002,(00) 3501 8986,john07@example.com,Ha Nioj,,6.5697,9.2351,Err,,
,SV1276,Quý cô Kim Đặng,2006-06-18,06 5407 6481,johnduong@example.net,Cần Thơ,14.77,5.5837,3.2973,7.88,,
,SV1277,Lan Mai,06/09/2005,+84-22-637471,jane82@example.net,,5.3653,8.6008,1.4879,5.15,,
,SV1278,Tú Đức Nguyễn,23/01/2005,+84-11-212 9416,—,TP HCM,6.9445,6.0549,0.3224,4.44,,
,SV1279,Vân Hoàng,19/08/2007,(02)101-8098,cdang@example.org,,9.1406,2.8571,,Err,,
,SV1280,Anh Vũ,unknown,(06)727-2272,—,ĐÀ NẴNG,8.9369,3.8944,8.9506,7.26,,
,SV1281,An Dương,Unknown,00 9951 0203,rduong@example.com,Ho Chi Minh City,1.3273,6.943,4.2241,4.16,,
,SV1282,Dương Nguyễn,28/05/2007,(07) 5047 3129,lejane@example.org,,8.3905,100,7.0024,38.46,,
,SV1283,Anh Hoàng Phạm,09/07/2007,(06)966-8958,—,HCM,3.8089,2.2515,3.5754,3.21,,
,SV1284,Khoa Đặng,18/05/2004,(05)990-8153,jane50@example.com,ĐÀ NẴNG,,8.7283,9.0965,Err,,
,SV1285,Bà Hương Trần,20/03/2004,(08) 5476 9041,rnguyen@example.org,,1.5787,11.36,0.4132,4.45,,
,SV1286,Châu Quang Nguyễn,28/05/2007,(00) 4912 6926,maijane@example.com,TP HCM,15.9,9.8351,8.3096,11.35,,
,SV1287,Cô Mai Phạm,2007-05-08,(06)293-4776,vujohn@example.net,TP HCM,5.7291,8.3665,2.6925,5.6,,
,SV1288,Ông Quang Bùi,unknown,+84-09-156 7752abc,johnle@example.net,cần thơ,4.9973,5.734,5.6652,5.47,,
,SV1289,An Vũ,08/09/2005,4985 9598,dtran@example.org,Ha Nioj,6.2689,,,Err,,
,SV1290,Châu Lê,30/06/2007,+84 26 4321782,janemai@example.com,Ha Nioj,0.9549,,0.3469,Err,,
,SV1291,Nam Quang Trần,unknown,+84-66-949 3628,jane07@example.net,,4.4027,8.5716,8.34,7.1,,
,SV1292,Bà Hà Đặng,16/01/2003,(07) 6505 0808,hle@example.net,TP HCM,9.6365,2.2875,2.0702,4.66,,
,SV1293,Mai Dương,unknown,(09) 4959 4955,fmai@example.com,HN,2.2135,4.1126,9.0192,5.12,,
,SV1294,Nhật Mai Mai,11/12/2002,(03)155-0581,xduong@example.com,Hải Phòng,8.7154,2.4639,,Err,,
,SV1295,Chị Nhật Lê,18/09/2007,05 92,dmai@example.org,HCM,0.0826,7.7123,6.5764,4.79,,
,SV1296,Hạnh Thị Hoàng,31/10/2007,8 33995,cbuiexample.com,,-0.16,15.94,5.6029,7.13,,
,SV1297,Chị Kim Hoàng,10/01/2006,(07)849-8447,JOHN06@EXAMPLE.COM,Hải Phòng,,8.7358,3.6133,Err,,
,SV1298,Minh Văn Trần,2003-04-19,+84-90-495648,janele@example.org,Hải Phòng,9.7391,5.1215,13.98,9.61,,
,SV1299,Phúc Xuân Dương,14/04/2007,—,tranjohn@example.net,Đà Nẵng,8.9951,7.4723,100,38.82,,
,SV1300,Bà Khoa Dương,17/07/2002,—,vujane@example.net,Đà Nẵng,3.4441,5.6506,8.5549,5.88,,
,SV1301,Quý cô Thành Bùi,32/13/2002,09 7314475,mdang@example.com,HCM,7.1399,7.9629,,Err,,
,SV1302,Xuân Đặng,26/02/2002,—,RLE@EXAMPLE.ORG,,2.3589,1.359,5.8872,3.2,,
,SV1303,Khoa Vũ,08/09/2003,00 3894 0712,johnnguyen@example.org,Hà Nội,5.8538,5.7311,9.0115,6.87,,
,SV1304,Linh Vũ,09/06/2005,—,JANE39@EXAMPLE.ORG,Ho Chi Minh City,2.7523,7.2209,9.6856,6.55,,
,SV1305,Quang Vũ,01/07/2004,—,janedang@example.com,Đà Nẵng,11.13,7.5674,7.0649,8.59,,
,SV1306,Quý cô Hải Hoàng,18/03/2007,09 7188925,zpham@example.net,,4.3521,,2.9858,Err,,
,SV1307,Chị Hạnh Đặng,Unknown,—,jane98@example.com,,0.076,100,4.6643,34.91,,
,SV1308,Quý cô Vi Trần,19/11/2005,(04)215-4183,jane43@example.net,TP HCM,0.4433,9.8326,,Err,,
,SV1309,Nhiên Mai,2006-03-22,+84 17 136897,—,HCM,3.1169,-2.15,8.7755,3.25,,
,SV1310,Chị Lâm Nguyễn,23/03/2007,+84 61 0780154,—,HCM,5.251,8.6035,7.591,7.15,,
,SV1311,Vũ Thị Phạm,2003-09-01,07 6850 2835,rhoang@example.com,tp hcm,5.315,12.98,-1.59,5.57,,
,SV1312,Lan Đặng,13/03/2007,08 4826065,uhoang@example.org,Ha Nioj,2.3793,9.3665,2.847,4.86,,
,SV1313,Bác Dũng Mai,unknown,(08) 4293 1074,maijohn@example.net,HCM,4.1463,4.2779,8.7778,5.73,,
,SV1314,Linh Mai,15/09/2006,+84 55 5738341,johndang@example.net,,100,1.0684,9.1344,36.73,,
,SV1315,Bảo Trần,05/08/2006,03 5570 8273,john18@example.com,,,4.6756,,Err,,
,SV1316,Xuân Mai,01/05/2002,+84-92-153 5437,XMAI@EXAMPLE.COM,đà nẵng,5.1261,6.2587,9.7871,7.06,,
,SV1317,Hải Phú Phạm,25/05/2005,+84-74-374 5666,JOHNVU@EXAMPLE.ORG,Ho Chi Minh City,8.9238,2.0243,4.9794,5.31,,
,SV1318,Lâm Đặng,04/08/2006,07 6829528,dtran@example.net,,4.9583,3.3919,0.0351,2.8,,
,SV1319,Chị Nhật Lê,24/12/2003,—,john36@example.com,CẦN THƠ,1.6662,,4.5494,Err,,
,SV1320,Chị Bảo Dương,16/03/2003,(06) 4726 3332,johnmai@example.com,HCM,8.7609,9.4268,3.9473,7.38,,
,SV1321,Anh Thành Vũ,20/12/2004,+84-66-92985,john52@example.org,,18.98,,7.5681,Err,,
,SV1322,Anh Tùng Lê,29/11/2006,—,svu@example.net,hà nội,1.5862,0.5726,9.1347,3.76,,
,SV1323,Bác Trọng Phạm,unknown,+84 81 9970786,lejohn@example.org,Hà Nội,4.4588,6.6983,7.4533,6.2,,
,SV1324,Bà Yến Phạm,26/05/2007,00 3228 8319,john10@example.net,HN,8.9977,15.35,8.1569,10.83,,
,SV1325,Hạnh Nguyễn,06/10/2004,+84-18-889 1365,john06@example.com,,7.6828,9.8902,7.0405,8.2,,
,SV1326,Chị Linh Dương,01/12/2006,+84-5,buijohn@example.net,Ho Chi Minh City,3.1609,9.7144,19.71,10.86,,
,SV1327,Nhật Dương,31/12/2002,(3) 6937 9127,john26@example.com,đà nẵng,2.9671,5.4665,,Err,,
,SV1328,Hạnh Hoàng,06/09/2006,—,janeduong@example.net,,3.3701,0.7096,5.2623,3.11,,
,SV1329,Quý cô Hương Lê,18/10/2006,(5)732-3742,lejohn@example.com,,2.3204,9.6544,4.0592,5.34,,
,SV1330,Bảo Lê,Unknown,+84-46-816 6854abc,dangjane@example.com,Hải Phòng,2.6039,2.5744,0.9862,2.05,,
,SV1331,Nhiên Thị Hoàng,10/04/2004,+84-23-205 4377abc,bbui@example.com,TP HCM,100,-2.02,2.9251,33.64,,
,SV1332,Trung Nguyễn,unknown,(02) 0016 8219,jane37@example.org,,7.8649,5.602,7.3133,6.93,,
,SV1333,Bảo Hữu Trần,03/11/2006,+84-40-109 1892,vujane@example.com,HN,2.2644,,2.0177,Err,,
,SV1334,Cô Yến Vũ,16/07/2004,—,vujohn@example.net,TP HCM,1.389,3.4565,6.1248,3.66,,
,SV1335,Bà Linh Trần,21/05/2003,(07)260-0423,JANENGUYEN@EXAMPLE.COM,TP HCM,4.0857,,8.7969,Err,,
,SV1336,An Trí Phạm,32/13/2002,(09)305-7408,tranjane@example.org,Cần Thơ,5.0973,8.444,100,37.85,,
,SV1337,Hoàng Vũ,13/10/2006,04 2454 0069,odangexample.com,HẢI PHÒNG,13.3,16.18,2.4482,10.64,,
,SV1338,Vũ Đặng,01/03/2005,—,qduongexample.com,HN,4.1385,6.7103,14.89,8.58,,
,SV1339,Chi Hoàng,18/04/2006,08 0109212,WTRAN@EXAMPLE.NET,,4.6312,4.0548,3.3562,4.01,,
,SV1340,An Thị Vũ,19/06/2003,05 9683081,dangjane@example.org,TP HCM,7.9098,,2.8167,Err,,
,SV1341,Nam Đức Trần,18/08/2003,(02) 2197 7792,ile@example.com,HCM,1.1748,15.84,0.1597,5.72,,
,SV1342,Cô Yến Mai,07/07/2003,+84 34 1717873,johndang@example.com,Hà Nội,0.2706,,3.8313,Err,,
,SV1343,Quý ông Tùng Lê,08/02/2005,—,johntran@example.com,Đà Nẵng,7.7793,8.5822,4.9253,7.1,,
,SV1344,Dương Lê,Unknown,—,johnhoang@example.net,Hải Phòng,0.2855,,0.62,Err,,
,SV1345,Thành Đức Lê,32/13/2002,+84-40-054196,ydang@example,TP HCM,2.681,,0.5061,Err,,
,SV1346,Quý cô Dương Đặng,09/12/2005,08 7464 8199,JANEPHAM@EXAMPLE.COM,,0.3402,1.9626,-3.22,-0.31,,
,SV1347,Quý ông Khoa Đặng,23/01/2007,00 6884525,janenguyen@example.org,Đà Nẵng,6.8233,1.136,,Err,,
,SV1348,Hà Quang Phạm,32/13/2002,(06)542-1735,janeduong@example.net,,0.005,1.9132,2.5334,1.48,,
,SV1349,Khoa Lê,2004-01-14,06 6494 3255,phamjohn@example.org,Hải Phòng,5.0675,-3.34,,Err,,
,SV1350,Thành Dương,Unknown,+84-0,qnguyen@example.net,hà nội,,,5.9593,Err,,
,SV1351,Thảo Bùi,24/07/2005,05 1374 8923abc,—,Ha Nioj,,7.4749,,Err,,
,SV1352,Cô Duyên Trần,12/06/2002,05 6803477,john20@example.org,Cần Thơ,0.4808,1.9362,2.5485,1.66,,
,SV1353,Quý ông Trung Đặng,Unknown,+84-91-278 1373,jle@example.com,Hải Phòng,2.9992,0.5574,,Err,,
,SV1354,Bà An Dương,19/08/2004,(02) 1744 6173,JOHN42@EXAMPLE.NET,CẦN THƠ,7.0448,-0.09,,Err,,
,SV1355,Bà Thảo Vũ,30/08/2007,(03) 9433 2392,janetran@example.com,Ha Nioj,2.0271,16.23,-4.22,4.68,,
,SV1356,Bà Thảo Nguyễn,08/03/2005,+84-25-322 4652,ytran@example.net,Hải Phòng,0.0503,2.2206,5.7677,2.68,,
,SV1357,Hà Đặng,04/01/2008,(03) 8680 2871,jane79@example.net,Ha Nioj,-3.62,8.2477,2.132,2.25,,
,SV1358,Cô Thảo Nguyễn,12/09/2003,+84 53 6365543,buijaneexample.com,TP HCM,6.4191,3.2677,7.6553,5.78,,
,SV1359,Khoa Phú Phạm,13/06/2005,—,whoang@example.org,,0.4683,-0.59,6.8084,2.23,,
,SV1360,Bà Ánh Bùi,15/11/2004,+84-13-905258,hoangjane@example.com,Ho Chi Minh City,5.2344,0.1995,6.2158,3.88,,
,SV1361,Bà Vi Phạm,12/11/2005,05 1221 2557,nguyenjohnexample.net,Hà Nội,1.6111,,3.5901,Err,,
,SV1362,Minh Trần,25/04/2002,()61-169,lduong@example.net,HÀ NỘI,2.2292,9.4622,-1.57,3.37,,
,SV1363,Hưng Hoàng,23/08/2004,(04) 9380 9459,jane50@example.net,Hà Nội,,3.092,9.7634,Err,,
,SV1364,Quý cô Lâm Nguyễn,04/05/2007,+84-3-1655,jane37@example.net,Hải Phòng,-2.54,1.0676,100,32.84,,
,SV1365,Ánh Đặng,14/09/2007,(06)602-0431,pnguyen@example.net,HN,6.8367,0.9237,8.9665,5.58,,
,SV1366,Quý cô Lâm Lê,Unknown,04 1977527,duongjane@example.org,,2.3083,8.5502,,Err,,
,SV1367,Quý ông Phúc Trần,2004-03-07,07 2472 5602,buijohn@example.org,Cần Thơ,,2.6928,,Err,,
,SV1368,Khoa Vũ,15/03/2002,04 5636504,duongjohn@example.net,Ho Chi Minh City,1.689,3.3222,4.6458,3.22,,
,SV1369,Bảo Quang Hoàng,30/01/2002,03 3925 4375abc,—,Ho Chi Minh City,-2.32,3,15.22,5.3,,
,SV1370,Châu Thế Lê,23/08/2002,08 5135861,jane16@example.net,Đà Nẵng,,2.1867,2.645,Err,,
,SV1371,Thành Văn Dương,Unknown,(9)326-733,jane19@example.org,Hải Phòng,9.7124,5.7862,3.8527,6.45,,
,SV1372,Bác Dũng Nguyễn,32/13/2002,+84 57 5388766abc,—,Hải Phòng,3.2418,2.6807,5.8851,3.94,,
,SV1373,Nhật Hoàng,10/11/2003,+84-03-247423,janetran@example.com,,-4.49,100,,Err,,
,SV1374,An Hoàng,Unknown,+84 85 8757692,buijohnexample.com,HN,4.5851,8.2272,3.6224,5.48,,
,SV1375,Bà Xuân Mai,05/11/2004,+84-11-945 8371,johndang@example.net,Hải Phòng,5.27,5.4233,19.43,10.04,,
,SV1376,Tú Lê,20/06/2003,+84-84-760099,duongjane@example.com,TP HCM,12.6,6.809,1.6569,7.02,,
,SV1377,Tùng Trí Trần,unknown,(02)5,janemai@example.com,Cần Thơ,2.8201,5.34,3.7782,3.98,,
,SV1378,Lan Đặng,22/11/2004,(01) 0468 1492,janehoang@example,Hà Nội,-1.42,6.8843,3.7167,3.06,,
,SV1379,Khoa Nguyễn,24/04/2004,—,nguyenjaneexample.com,,18.25,1.741,0.0706,6.69,,
,SV1380,Dũng Phú Trần,2007-06-23,+84-99-324 9341,john41@example.net,,3.5524,7.0168,15.37,8.65,,
,SV1381,Linh Hoàng,06/03/2007,+84-41-850 5035,obui@example.org,,100,3.0854,2.1186,35.07,,
,SV1382,Quý ông Bảo Nguyễn,10/08/2007,+84 86 8102568,jane42@example.org,HN,,2.9375,5.6771,Err,,
,SV1383,Linh Đặng,22/12/2003,+84 22 9371528,qmai@example.com,HCM,2.2271,18.06,7.7187,9.34,,
,SV1384,Anh Bảo Phạm,09/12/2003,+84-77-691704,snguyen@example.org,TP HCM,3.8289,3.4932,1.6845,3,,
,SV1385,Quang Mai,10/11/2004,(06)387-5379,janetran@example.net,Hải Phòng,-3.86,1.0214,3.3363,0.17,,
,SV1386,Dũng Hoàng,2007-06-13,(04) 0230 7521,fdang@example.com,Ha Nioj,4.8933,17.93,1.4344,8.09,,
,SV1387,Anh Vũ Nguyễn,2007-07-09,+84-44-813 3960,pnguyen@example,CẦN THƠ,8.8758,2.9532,0.1438,3.99,,
,SV1388,Phương Trí Phạm,09/12/2003,—,janebui@example,Ha Nioj,,3.7933,17.04,Err,,
,SV1389,Dũng Đặng,30/03/2003,(09) 3833 0932,johnnguyen@example.org,Hải Phòng,2.7626,0.6073,,Err,,
,SV1390,Quý cô Hồng Bùi,29/04/2004,(3)898-6428,hoangjohn@example.org,HCM,100,1.7943,0.9535,34.25,,
,SV1391,Quý cô Vân Phạm,Unknown,—,nguyenjohn@example.com,TP HCM,9.8351,1.2071,8.8428,6.63,,
,SV1392,Bác Khoa Mai,08/08/2007,+84-62-146951,johnpham@example.net,TP HCM,9.3692,1.7495,4.8694,5.33,,
,SV1393,Vân Dương,13/12/2005,06 4502 5558,johnbui@example.net,Đà Nẵng,9.7602,3.2582,8.9221,7.31,,
,SV1394,Quang Quang Bùi,10/06/2005,01 4578 2015,john10@example.net,ĐÀ NẴNG,11.1,7.4318,9.4304,9.32,,
,SV1395,Bảo Phú Bùi,09/01/2005,(01) 4021 2617,johnle@example.com,TP HCM,0.2595,4.395,5.3856,3.35,,
,SV1396,Thành Hải Phạm,10/11/2004,(03)301-4308,johndang@example.com,Cần Thơ,1.3846,6.8837,3.0145,3.76,,
,SV1397,Tú Bùi,32/13/2002,+84 84 9062673abc,lejohn@example.net,HN,4.2484,8.3695,9.0839,7.23,,
,SV1398,Dũng Tấn Hoàng,12/02/2003,(01) 1013 7273,nguyenjane@example.com,HCM,-4.65,2.0422,,Err,,
,SV1399,Nhật Thị Mai,22/05/2006,+84-15-826 2089,hoangjane@example.org,,-0.16,,6.5471,Err,,
